Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Mark Robson,DIRECTING,The Inn of the Sixth Happiness,FALSE,1959,1913-12-04,"Montreal, Quebec, Canada",Male,White,Na,Na,http://www.nndb.com/people/337/000078103/
Laurence Harvey,ACTOR,Room at the Top,FALSE,1960,1928-10-01,"Jonischkis, Lithuania",Male,White,Straight,Na,http://www.nndb.com/people/310/000026232/
Charlton Heston,ACTOR,Ben-Hur,TRUE,1960,1923-10-04,"Evanston, IL",Male,White,Straight,Protestant,/people/961/000022895/
Jack Lemmon,ACTOR,Some Like It Hot,FALSE,1960,1925-02-08,"Newton, MA",Male,White,Straight,Roman Catholic,/people/714/000026636/
Paul Muni,ACTOR,The Last Angry Man,FALSE,1960,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Jimmy Stewart,ACTOR,Anatomy of a Murder,FALSE,1960,1908-05-20,"Indiana, PA",Male,White,Straight,Presbyterian,/people/659/000026581/
Hugh Griffith,ACTOR IN A SUPPORTING ROLE,Ben-Hur,TRUE,1960,1912-05-30,"Marian Glas, Anglesey, Wales",Male,White,Na,Na,/people/120/000063928/
Arthur O'Connell,ACTOR IN A SUPPORTING ROLE,Anatomy of a Murder,FALSE,1960,1908-03-29,New York City,Male,White,Straight,Na,http://www.nndb.com/people/259/000136848/
George C. Scott,ACTOR IN A SUPPORTING ROLE,Anatomy of a Murder,FALSE,1960,1927-10-18,"Wise, VA",Male,White,Straight,Na,/people/025/000022956/
Robert Vaughn,ACTOR IN A SUPPORTING ROLE,The Young Philadelphians,FALSE,1960,1932-11-22,New York City,Male,White,Straight,Roman Catholic,http://www.nndb.com/people/648/000023579/
Ed Wynn,ACTOR IN A SUPPORTING ROLE,The Diary of Anne Frank,FALSE,1960,1886-11-09,"Philadelphia, PA",Male,White,Straight,Na,http://www.nndb.com/people/595/000108271/
Doris Day,ACTRESS,Pillow Talk,FALSE,1960,1922-04-03,"Cincinnati, OH",Female,White,Straight,Christian Science,http://www.nndb.com/people/975/000022909/
Audrey Hepburn,ACTRESS,The Nun's Story,FALSE,1960,1929-05-04,"Brussels, Belgium",Female,White,Straight,Christian Science,/people/933/000026855/
Katharine Hepburn,ACTRESS,"Suddenly, Last Summer",FALSE,1960,1907-05-12,"Hartford, CT",Female,White,Bisexual,Atheist,/people/775/000023706/
Simone Signoret,ACTRESS,Room at the Top,TRUE,1960,1921-03-25,"Wiesbaden, Germany",Female,White,Straight,Na,/people/804/000063615/
Elizabeth Taylor,ACTRESS,"Suddenly, Last Summer",FALSE,1960,1932-02-27,"London, England",Female,White,Straight,Jewish,/people/624/000023555/
Hermione Baddeley,ACTRESS IN A SUPPORTING ROLE,Room at the Top,FALSE,1960,1906-11-13,"Broseley, Shropshire, England",Female,White,Straight,Na,http://www.nndb.com/people/417/000138003/
Susan Kohner,ACTRESS IN A SUPPORTING ROLE,Imitation of Life,FALSE,1960,1936-11-11,"Los Angeles, CA",Female,White,Straight,Na,http://www.nndb.com/people/616/000135211/
Juanita Moore,ACTRESS IN A SUPPORTING ROLE,Imitation of Life,FALSE,1960,1922-10-19,"Los Angeles, CA",Female,Black,Na,Na,http://www.nndb.com/people/491/000108167/
Thelma Ritter,ACTRESS IN A SUPPORTING ROLE,Pillow Talk,FALSE,1960,1905-02-14,"Brooklyn, NY",Female,White,Straight,Na,http://www.nndb.com/people/813/000089546/
Shelley Winters,ACTRESS IN A SUPPORTING ROLE,The Diary of Anne Frank,TRUE,1960,1920-08-18,"St. Louis, MO",Female,White,Straight,Jewish,/people/859/000022793/
William Wyler,DIRECTING,Ben-Hur,TRUE,1960,1902-07-01,"Mulhouse, Haut-Rhin, Alsace, France",Male,White,Straight,Na,/people/463/000032367/
George Stevens,DIRECTING,The Diary of Anne Frank,FALSE,1960,1904-12-18,"Oakland, CA",Male,White,Straight,Na,/people/382/000044250/
Fred Zinnemann,DIRECTING,The Nun's Story,FALSE,1960,1907-04-29,"Vienna, Austria",Male,White,Straight,Jewish,/people/538/000032442/
Jack Clayton,DIRECTING,Room at the Top,FALSE,1960,1921-03-01,"Brighton, England",Male,White,Straight,Na,http://www.nndb.com/people/075/000174550/
Billy Wilder,DIRECTING,Some Like It Hot,FALSE,1960,1906-06-22,"Sucha, Galicia, Austria",Male,White,Straight,Jewish,/people/982/000024910/
